,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Alice Springs,-23.7,133.88,23.89,15,37,3.6,AU,1601249813
1,Husavik,66.04,-17.34,6.0,100,75,2.6,IS,1601249813
2,Hambantota,6.12,81.12,26.38,80,57,6.28,LK,1601249814
3,Sontra,51.07,9.93,9.44,95,88,0.26,DE,1601249814
4,Neepawa,50.23,-99.47,13.0,54,75,10.8,CA,1601249814
5,Yondó,7.01,-73.91,25.31,83,51,0.49,CO,1601249815
6,Grand Gaube,-20.01,57.66,22.22,78,60,1.79,MU,1601249815
7,Nahrin,36.06,69.13,7.89,56,0,0.43,AF,1601249816
8,Verkhnyaya Inta,65.98,60.31,1.65,90,12,1.85,RU,1601249816
9,Florianópolis,-27.61,-48.5,22.78,94,100,3.6,BR,1601249701
10,Bandarbeyla,9.49,50.81,24.63,80,78,8.2,SO,1601249817
11,Sundargarh,22.12,84.03,23.23,80,0,0.93,IN,1601249818
12,Kirakira,-10.45,161.92,29.44,69,85,5.63,SB,1601249818
13,Xai-Xai,-25.05,33.64,21.32,93,100,3.35,MZ,1601249819
14,Buala,-8.14,159.59,28.31,76,95,4.43,SB,1601249819
15,Phuket,8.0,98.25,26.11,83,75,3.6,TH,1601249723
16,Arrondissement de Rennes,48.17,-1.67,11.11,87,75,4.1,FR,1601249385
17,Bahir Dar,11.59,37.39,14.73,86,6,1.6,ET,1601249820
18,Iaciara,-14.1,-46.63,26.11,24,0,1.48,BR,1601249821
19,Bad Wurzach,47.9,9.9,6.67,93,60,2.1,DE,1601249822
20,León,21.12,-101.67,28.0,30,40,0.55,MX,1601249822
21,Virginia Beach,36.85,-75.98,23.33,78,75,1.5,US,1601249731
22,Hargeisa,9.56,44.06,24.07,52,82,3.13,SO,1601249823
23,Yorosso,12.35,-4.78,23.67,80,30,0.62,ML,1601249823
24,Charyshskoye,51.4,83.56,0.59,92,8,0.99,RU,1601249824
25,Atuona,-9.8,-139.03,25.74,74,2,6.73,PF,1601249824
26,Zaysan,47.47,84.87,3.05,82,46,1.15,KZ,1601249825
27,Torbay,47.67,-52.73,17.78,93,90,9.3,CA,1601249825
28,Samandağ,36.08,35.98,26.0,69,0,4.1,TR,1601249826
29,Kattivākkam,13.22,80.32,26.0,88,40,3.27,IN,1601249826
30,Yershov,51.35,48.28,9.88,49,61,2.76,RU,1601249827
31,Arlit,18.74,7.39,33.7,17,24,1.53,NE,1601249827
32,Waterlooville,50.88,-1.03,11.67,77,36,4.68,GB,1601249828
33,Atbasar,51.8,68.33,5.97,74,75,1.7,KZ,1601249828
34,Boueni,-12.9,45.08,25.0,78,75,3.6,YT,1601249829
35,Ambilobe,-13.2,49.05,18.96,89,35,1.74,MG,1601249829
36,Mīzan Teferī,6.98,35.58,16.93,88,98,1.01,ET,1601249830
37,Brae,60.4,-1.35,9.0,87,100,2.6,GB,1601249638
38,Touros,-5.2,-35.46,25.0,83,40,3.6,BR,1601249830
39,Devils Lake,48.11,-98.87,12.0,81,90,6.2,US,1601249831
40,College,64.86,-147.8,14.0,47,75,4.6,US,1601249831
41,Djibouti,11.5,42.5,31.0,74,1,3.48,DJ,1601249832
42,Katsuura,35.13,140.3,22.78,64,18,1.34,JP,1601249833
43,Poum,-20.23,164.02,23.59,85,27,5.36,NC,1601249833
44,Kampene,-3.6,26.67,20.47,96,100,0.52,CD,1601249834
45,Talcahuano,-36.72,-73.12,13.0,76,0,5.1,CL,1601249834
46,Half Moon Bay,37.46,-122.43,34.0,36,1,8.2,US,1601249835
47,Yelan',50.95,43.74,8.83,50,0,4.59,RU,1601249813
48,Qasigiannguit,68.82,-51.19,-2.0,79,65,1.5,GL,1601249836
49,Troitskiy,57.06,63.75,7.23,93,31,2.0,RU,1601249836
50,Nioro,13.35,-15.75,24.44,95,100,2.43,GM,1601249837
51,Labuhan,-6.88,112.21,26.59,73,99,5.78,ID,1601249837
52,Sambava,-14.27,50.17,20.32,91,54,2.91,MG,1601249838
53,Vila Velha,-20.33,-40.29,26.11,78,0,4.6,BR,1601249838
54,Seydi,39.48,62.91,10.97,42,29,4.58,TM,1601249575
55,Yara,20.28,-76.95,25.06,86,21,1.31,CU,1601249839
56,Pedasí,7.53,-80.03,26.61,82,100,3.28,PA,1601249839
57,San Rafael,-34.62,-68.33,17.07,30,30,4.53,AR,1601249840
58,Tiarei,-17.53,-149.33,29.0,66,75,4.6,PF,1601249840
59,Bījār,35.87,47.61,8.41,89,0,1.84,IR,1601249841
60,Wana,32.3,69.57,18.58,39,0,1.06,PK,1601249843
61,Bethel,41.37,-73.41,22.22,83,90,2.1,US,1601249843
62,Bengkulu,-3.8,102.27,24.96,83,94,3.15,ID,1601249843
63,Avarua,-21.21,-159.78,25.0,65,37,5.1,CK,1601249844
64,Leningradskiy,69.38,178.42,0.43,89,24,3.9,RU,1601249844
65,Aswān,24.09,32.91,28.55,33,0,2.67,EG,1601249845
66,Almeria,37.17,-2.33,21.0,40,42,3.1,ES,1601249845
67,Russell,32.35,-85.2,26.0,73,1,3.6,US,1601249845
68,Cuenca,-2.88,-78.98,12.0,100,75,2.1,EC,1601249846
69,Kombissiri,12.07,-1.34,28.0,78,20,2.6,BF,1601249847
70,La Tuque,47.43,-72.78,18.91,83,100,3.74,CA,1601249848
71,Novy Urengoy,66.08,76.63,2.46,82,62,6.52,RU,1601249848
72,Manavālakurichi,8.13,77.3,27.0,94,40,1.5,IN,1601249848
73,Portlethen,57.05,-2.13,6.0,81,100,3.6,GB,1601249849
74,Khatanga,71.97,102.5,-1.8,97,96,4.38,RU,1601249849
75,Romitan,39.93,64.38,10.0,46,42,5.1,UZ,1601249850
76,Usinsk,65.99,57.53,2.0,87,27,2.87,RU,1601249669
77,Iqaluit,63.75,-68.51,-1.11,79,20,4.1,CA,1601249851
78,Wau,7.7,28.0,21.13,94,52,0.84,SS,1601249851
79,Bulgan,48.81,103.53,1.46,85,0,0.6,MN,1601249852
80,Meulaboh,4.14,96.13,24.55,86,100,2.17,ID,1601249852
81,Hilo,19.73,-155.09,30.0,51,1,4.1,US,1601249814
82,Iquitos,-3.75,-73.25,30.0,74,40,0.76,PE,1601249853
83,Cidreira,-30.18,-50.21,18.86,93,94,7.2,BR,1601249854
84,Wilmington,34.23,-77.94,24.0,78,75,2.28,US,1601249558
85,Cockburn Town,21.46,-71.14,29.0,62,40,5.1,TC,1601249770
86,Abu Dhabi,24.47,54.37,29.0,79,0,1.5,AE,1601249375
87,Manicaragua,22.15,-79.97,28.0,83,20,2.6,CU,1601249856
88,Kamenka,51.32,42.77,9.88,46,0,5.75,RU,1601249856
89,Petropavlovsk-Kamchatskiy,53.05,158.65,4.0,80,75,2.0,RU,1601249857
90,Kearney,40.7,-99.08,19.0,25,20,7.7,US,1601249857
91,Corinth,37.94,22.96,19.44,57,2,0.89,GR,1601249858
92,San Cristobal,7.77,-72.22,31.0,55,40,3.1,VE,1601249859
93,Hualmay,-11.1,-77.61,16.49,84,8,3.81,PE,1601249852
94,Clarence Town,-32.58,151.78,18.33,45,40,3.1,AU,1601249859
95,Bambous Virieux,-20.34,57.76,22.22,94,75,3.6,MU,1601249860
96,Nikolskoye,59.7,30.79,12.78,81,1,4.0,RU,1601249860
97,Wum,6.38,10.07,16.73,99,73,0.5,CM,1601249861
98,Carutapera,-1.2,-46.02,25.44,82,6,3.57,BR,1601249861
99,Laas,46.62,10.7,5.56,80,79,2.85,IT,1601249862
100,Dudinka,69.41,86.18,0.0,90,75,8.0,RU,1601249862
101,Kirkland Lake,48.14,-80.04,18.0,82,75,2.6,CA,1601249862
102,Ceuta,35.89,-5.31,21.0,68,8,4.1,ES,1601249863
103,Skibbereen,51.55,-9.27,14.0,93,75,4.1,IE,1601249863
104,Jinchang,38.5,102.17,14.43,54,100,2.16,CN,1601249864
105,Sarakhs,36.54,61.16,13.0,35,1,1.0,IR,1601249864
106,Vestmanna,62.16,-7.17,8.0,100,100,5.1,FO,1601249864
107,Upernavik,72.79,-56.15,-1.68,94,100,3.49,GL,1601249865
108,Aitape,-3.14,142.35,30.28,62,72,0.52,PG,1601249866
109,Tambovka,50.1,128.05,8.0,70,20,2.0,RU,1601249867
110,Washington,47.5,-120.5,19.44,37,1,2.6,US,1601249821
111,Ibipeba,-11.64,-42.01,20.92,47,0,3.18,BR,1601249867
112,Bechem,7.09,-2.02,21.04,95,82,0.8,GH,1601249708
113,Ust-Nera,64.57,143.2,8.3,55,99,2.27,RU,1601249620
114,Janfida,40.04,44.02,21.0,40,4,3.1,AM,1601249869
115,Souillac,-20.52,57.52,21.0,94,75,3.6,MU,1601249869
116,Sawākin,19.11,37.33,29.45,65,0,3.33,SD,1601249870
117,Saint-Paul,-21.01,55.27,21.0,77,63,4.6,RE,1601249870
118,Chennai,13.09,80.28,26.0,88,40,3.58,IN,1601249702
119,Zhezkazgan,47.8,67.71,5.3,67,0,4.52,KZ,1601249871
120,Yumen,40.28,97.2,9.54,43,61,4.44,CN,1601249871
121,São José da Coroa Grande,-8.9,-35.15,24.73,89,93,4.45,BR,1601249872
122,Nabire,-3.37,135.48,25.72,81,89,0.88,ID,1601249873
123,Letterkenny,54.95,-7.73,11.29,93,97,2.53,IE,1601249873
124,Solnechnyy,50.72,136.63,12.03,72,96,1.53,RU,1601249874
125,Punta Arenas,-53.15,-70.92,9.0,66,40,12.3,CL,1601249862
126,Mae Hong Son,19.3,97.97,23.33,88,100,0.45,TH,1601249875
127,Pinega,64.7,43.39,7.97,94,100,1.61,RU,1601249876
128,Mikkeli,61.69,27.27,7.0,100,5,2.25,FI,1601249876
129,Mumbwa,-14.98,27.06,22.43,24,31,2.65,ZM,1601249876
130,Solone,48.21,34.87,15.0,87,20,2.51,UA,1601249877
131,Lovozero,68.0,35.01,3.77,90,32,2.57,RU,1601249878
132,Kashgar,39.45,75.98,16.0,36,40,2.0,CN,1601249878
133,Baykal'sk,51.51,104.15,5.78,72,68,0.69,RU,1601249879
134,Mar del Plata,-38.0,-57.56,12.22,93,90,4.1,AR,1601249845
135,Ibrā’,22.69,58.53,23.66,59,0,1.1,OM,1601249880
136,Birjand,32.87,59.22,17.0,18,2,6.2,IR,1601249881
137,Iskateley,67.68,53.15,2.26,85,57,2.08,RU,1601249881
138,Paris,48.85,2.35,13.33,100,90,5.1,FR,1601249571
139,Dordrecht,51.81,4.67,13.89,88,95,1.39,NL,1601249790
140,Jamestown,42.1,-79.24,23.33,68,1,4.1,US,1601249882
141,Dwārka,22.24,68.97,27.05,71,4,4.13,IN,1601249883
142,Shahrud,36.42,54.98,14.61,73,26,4.33,IR,1601249883
143,Turukhansk,65.82,87.98,4.57,75,98,11.28,RU,1601249884
144,Maragogi,-9.01,-35.22,24.53,90,100,4.32,BR,1601249884
145,Polunochnoye,60.87,60.42,10.44,86,99,1.55,RU,1601249885
146,Mirny,62.54,113.96,3.0,100,90,4.0,RU,1601249885
147,Bosaso,11.28,49.18,29.28,70,37,2.43,SO,1601249886
148,Baykit,61.67,96.37,7.23,79,100,4.24,RU,1601249886
149,Kangaba,11.93,-8.42,23.44,87,10,1.42,ML,1601249886
150,Abhā,18.22,42.51,19.0,22,0,2.79,SA,1601249887
151,Daru,-9.08,143.21,27.64,78,73,8.48,PG,1601249887
152,Meridian,43.61,-116.39,20.56,28,1,4.6,US,1601249888
153,Novaya Igirma,57.13,103.91,6.14,81,100,4.11,RU,1601249888
154,East Wenatchee Bench,47.43,-120.28,19.44,37,1,2.6,US,1601249888
155,Havelock,34.88,-76.9,23.0,83,90,2.1,US,1601249889
156,Rosetown,51.55,-108.0,13.33,47,66,2.68,CA,1601249889
157,Takoradze,4.88,-1.76,23.86,93,14,3.5,GH,1601249890
158,Koster,-25.86,26.9,9.96,39,0,5.9,ZA,1601249890
159,Murindó,6.98,-76.75,23.98,94,91,1.21,CO,1601249891
160,Bodmin,50.47,-4.72,13.0,82,65,5.1,GB,1601249891
161,New Norfolk,-42.78,147.06,13.33,63,73,1.79,AU,1601249892
162,Igarka,67.47,86.58,2.05,88,100,11.89,RU,1601249892
163,Ayan,56.45,138.17,11.1,92,100,3.69,RU,1601249893
164,Lagos,6.58,3.75,23.77,91,96,1.32,NG,1601249253
165,Aksarka,66.56,67.8,2.68,81,0,5.15,RU,1601249893
166,Bereda,43.27,-7.54,6.67,100,0,0.45,ES,1601249894
167,Miyako,39.64,141.95,18.76,67,17,4.49,JP,1601249669
168,Uniontown,39.9,-79.72,21.67,48,97,1.16,US,1601249894
169,Cap Malheureux,-19.98,57.61,22.22,78,53,1.79,MU,1601249895
170,Jumla,29.27,82.18,10.31,53,0,2.04,NP,1601249895
171,Onguday,50.75,86.15,2.9,79,100,0.98,RU,1601249896
172,Tambopata,-12.73,-69.18,25.85,68,90,0.38,PE,1601249896
173,Jérémie,18.65,-74.12,27.88,72,17,1.34,HT,1601249897
174,Lashio,22.93,97.75,20.31,100,100,0.11,MM,1601249897
175,Baharly,38.44,57.43,14.7,32,93,1.37,TM,1601249736
176,Prabumulih,-3.45,104.25,24.4,83,100,1.92,ID,1601249898
177,Lima,-12.04,-77.03,17.0,77,40,3.6,PE,1601249898
178,Nome,64.5,-165.41,9.0,49,1,3.1,US,1601249899
179,Talnakh,69.49,88.4,0.0,93,75,8.0,RU,1601249899
180,Balkanabat,39.51,54.37,17.71,26,74,4.73,TM,1601249899
