,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Adwa,14.16,38.9,14.17,47,0,1.24,ET,1604097144
1,Naze,28.37,129.48,23.0,60,40,9.3,JP,1604097144
2,Moratuwa,6.77,79.88,27.0,88,40,1.0,LK,1604097145
3,Sydney,-33.87,151.21,19.44,88,75,6.7,AU,1604097238
4,Hobart,-42.88,147.33,15.56,76,20,2.6,AU,1604096879
5,Yining,29.04,114.56,15.98,89,93,1.04,CN,1604097147
6,Half Moon Bay,37.46,-122.43,21.67,52,5,3.6,US,1604097148
7,Beloha,-25.17,45.05,19.16,58,0,5.19,MG,1604097148
8,Edd,13.93,41.69,28.64,55,0,7.66,ER,1604097149
9,Philadelphia,39.95,-75.16,9.0,66,90,3.1,US,1604096880
10,Cumbernauld,55.95,-3.99,6.67,89,32,2.06,GB,1604097047
11,Panguna,-6.32,155.48,26.24,75,87,1.13,PG,1604097151
12,Nnewi,6.02,6.91,23.79,95,37,1.94,NG,1604097151
13,Nyurba,63.28,118.33,-20.15,91,76,1.5,RU,1604097152
14,Cabedelo,-6.98,-34.83,26.0,83,20,3.1,BR,1604097152
15,Rocha,-34.48,-54.33,8.59,82,100,1.72,UY,1604097153
16,Severodvinsk,64.56,39.83,0.0,85,20,1.0,RU,1604097153
17,Port Hawkesbury,45.62,-61.35,1.11,64,90,2.1,CA,1604097154
18,Vung Tau,10.35,107.08,26.37,84,36,5.17,VN,1604097154
19,Cockenzie,55.97,-2.97,6.11,87,25,1.34,GB,1604097155
20,Bahía Blanca,-38.72,-62.27,18.57,30,0,3.76,AR,1604097155
21,Chake Chake,-5.25,39.77,25.23,82,98,3.48,TZ,1604097156
22,Singaparna,-7.35,108.11,22.91,88,95,0.26,ID,1604097156
23,Mugumu,-1.85,34.7,17.12,77,23,1.69,TZ,1604097157
24,Fuling,29.7,107.39,16.06,90,100,0.24,CN,1604097158
25,Boa Vista,2.82,-60.67,30.0,62,40,2.6,BR,1604097158
26,Avarua,-21.21,-159.78,25.0,73,99,4.6,CK,1604097159
27,Severo-Kuril'sk,50.68,156.12,5.38,91,100,14.97,RU,1604097159
28,Zwedru,6.07,-8.13,22.26,97,74,0.76,LR,1604097160
29,Pangnirtung,66.15,-65.71,-11.0,78,20,1.0,CA,1604097160
30,Touba,8.28,-7.68,23.16,66,8,0.65,CI,1604097161
31,Haridwar,29.97,78.17,18.22,39,0,2.05,IN,1604097161
32,Lukovetskiy,64.3,41.92,0.0,95,20,1.0,RU,1604097162
33,Rovnoye,50.78,46.05,9.33,61,100,3.68,RU,1604097163
34,Diffa,13.32,12.61,26.58,26,0,3.78,NE,1604097163
35,Bandiagara,14.35,-3.61,26.0,78,0,2.1,ML,1604097164
36,Manggar,-2.88,108.27,25.97,83,49,2.14,ID,1604097165
37,Cururupu,-1.83,-44.87,23.39,90,17,1.41,BR,1604097165
38,São José de Ribamar,-2.56,-44.05,27.0,78,0,5.7,BR,1604097165
39,Kahului,20.89,-156.47,31.0,55,40,9.8,US,1604097166
40,Dire Dawa,9.59,41.87,19.65,65,0,2.64,ET,1604097166
41,Saldanha,-33.01,17.94,13.0,66,0,5.1,ZA,1604097167
42,Punta Arenas,-53.15,-70.92,12.0,58,75,15.4,CL,1604097167
43,Dikson,73.51,80.55,-10.22,95,100,12.86,RU,1604096999
44,Hokitika,-42.72,170.97,14.62,96,100,5.34,NZ,1604097168
45,Batalha,-9.68,-37.12,24.71,77,87,5.38,BR,1604097170
46,Landskrona,55.87,12.83,10.56,95,100,4.41,SE,1604097171
47,Amahai,-3.33,128.92,29.44,91,17,0.69,ID,1604097171
48,Nicoya,10.15,-85.45,25.0,100,75,2.1,CR,1604097172
49,Hong Kong,22.29,114.16,22.78,83,91,0.45,HK,1604097134
50,Viedma,-40.81,-63.0,23.33,21,0,0.89,AR,1604097173
51,Batemans Bay,-35.72,150.18,17.78,96,100,0.45,AU,1604097174
52,Veseloyarsk,51.28,81.11,0.33,97,100,2.7,RU,1604097174
53,Garoowe,8.41,48.48,25.03,70,17,5.23,SO,1604097175
54,George Town,5.41,100.34,27.0,88,20,1.0,MY,1604097175
55,Poli,-3.33,36.8,21.0,93,75,7.2,TZ,1604097176
56,Nanortalik,60.14,-45.24,-1.85,92,99,2.95,GL,1604097032
57,Vostok,46.49,135.88,-2.72,98,64,2.15,RU,1604097176
58,Galle,6.04,80.22,25.91,84,100,2.87,LK,1604097177
59,Jalu,29.03,21.55,17.24,73,29,4.5,LY,1604097177
60,Wagga Wagga,-35.12,147.37,16.67,82,19,3.1,AU,1604097178
61,Haines Junction,60.75,-137.51,-6.0,67,100,3.6,CA,1604097179
62,Urucará,-2.54,-57.76,28.29,73,78,0.75,BR,1604097179
63,Yulara,-25.24,130.99,18.0,25,0,6.2,AU,1604097180
64,Tarakan,3.3,117.63,26.02,88,94,4.33,ID,1604097181
65,Tarbagatay,51.48,107.36,-2.0,68,75,3.0,RU,1604097181
66,Sabang,5.89,95.32,27.78,77,60,6.71,ID,1604097182
